ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,Total_Injection_VOL,BORE_OIL_VOL
24.0,42.95633,92.066,59.623,9274.0,3346.0
24.0,33.33069,98.526,67.01,9247.0,2434.0
24.0,31.97885,97.748,66.2,9165.0,2317.0
24.0,40.14273,95.34,63.475,9175.0,2976.0
24.0,38.32368,90.503,60.195,9175.0,3032.0
24.0,40.23154,95.148,63.244,9222.0,2993.0
24.0,40.14094,94.968,63.084,9226.0,3093.0
24.0,40.22204,94.969,63.066,7773.0,2999.0
7.53,36.88709,95.316,63.382,2788.0,920.0
6.98,28.20086,101.599,69.071,1390.0,808.0
24.0,47.51018,85.512,52.429,9086.0,4060.0
24.0,49.18402,83.477,50.397,9309.0,4349.0
24.0,49.69052,82.623,49.488,8892.0,4412.0
24.0,49.43067,81.469,48.281,9009.0,4418.0
24.0,50.24218,81.25,48.085,9011.0,4449.0
24.0,49.35612,81.954,48.856,9010.0,4354.0
24.0,51.23093,79.843,46.521,9041.0,4499.0
24.0,57.23161,73.128,39.57,9044.0,5479.0
24.0,57.28408,72.646,39.114,6834.0,5444.0
24.0,56.92553,72.445,38.955,8943.0,5374.0
24.0,56.70427,72.134,38.671,9052.0,5315.0
24.0,56.72041,71.474,38.021,9085.0,4981.0
24.0,52.22903,75.738,42.445,7070.0,4450.0
24.0,34.9762,94.166,61.583,9170.0,2050.0
24.0,34.90242,95.056,62.693,8954.0,2059.0
24.0,34.9779,95.885,63.379,9316.0,2080.0
24.0,34.97059,96.513,63.996,9197.0,2090.0
24.0,34.93069,96.966,64.214,8781.0,2093.0
24.0,34.77368,97.253,64.862,1902.0,2084.0
23.83,34.61917,96.79,64.948,4684.0,2087.0
24.0,35.87947,96.191,64.215,3272.0,2190.0
24.0,34.84776,97.034,65.072,5582.0,2059.0
10.5,30.02816,97.603,65.825,5400.0,625.0
24.0,34.25806,97.544,65.589,5572.0,2029.0
9.71,32.68822,97.838,65.908,5270.0,837.0
0.0,32.6258925,106.783,75.044,5473.0,0.0
0.0,32.563565,104.637,80.955,5470.0,0.0
0.0,32.5012375,104.488,83.341,5637.0,0.0
8.5,32.43891,95.422,63.468,5643.0,761.0
24.0,35.50777,97.438,65.365,0.0,2173.0
5.71,30.48369,98.563,66.531,5290.0,500.0
0.0,26.37657,106.922,106.81,4885.0,0.0
23.6,22.26945,97.284,67.13,5520.0,1182.0
24.0,44.18525,87.296,55.037,5468.0,4067.0
24.0,42.83797,87.575,55.429,5331.0,3736.0
24.0,45.71124,85.249,52.932,5473.0,4058.0
24.0,45.8337,84.217,51.923,5902.0,4036.0
24.0,46.24048,82.854,50.512,4099.0,4047.0
24.0,46.28296,81.797,49.494,0.0,4005.0
24.0,46.22387,80.647,48.384,0.0,3937.0
24.0,36.73361,85.064,53.031,0.0,2503.0
24.0,37.12605,84.241,52.099,2678.0,2551.0
24.0,44.88508,79.232,47.041,5705.0,3606.0
22.17,41.21113,79.549,46.452,2030.0,2859.0
18.29,45.30538,76.257,44.1,8541.0,2847.0
24.0,46.17862,75.441,43.172,6958.0,3653.0
24.0,46.37669,74.654,42.381,5962.0,3629.0
24.0,44.14644,76.299,44.116,6165.0,3390.0
24.0,46.80728,73.086,40.826,10876.0,3576.0
24.0,43.36785,75.006,42.793,9966.0,3175.0
24.0,45.0341,74.001,41.871,10121.0,3371.0
24.0,46.55129,72.472,40.216,9976.0,3512.0
24.0,46.62032,72.059,39.901,9387.0,3627.0
24.0,47.28816,71.122,38.805,9498.0,3607.0
24.0,47.31026,70.943,38.626,8750.0,3320.0
24.0,47.34629,70.75,38.446,9985.0,3594.0
24.0,36.54631,77.03,45.137,6136.0,2464.0
24.0,47.0641,70.617,38.394,10879.0,3377.0
22.33,36.34842,78.94,47.628,8514.0,2127.0
24.0,40.82481,77.145,45.629,10433.0,2726.0
24.0,40.82666,77.071,45.501,9214.0,2719.0
24.0,40.82958,77.181,45.615,11361.0,2714.0
24.0,40.84937,77.217,45.677,10283.0,2720.0
24.0,40.91507,76.937,45.239,8821.0,2740.0
24.0,41.85422,75.803,44.149,11378.0,2825.0
24.0,41.78594,75.945,44.27,12064.0,2828.0
24.0,41.78983,75.922,44.265,9790.0,2829.0
24.0,41.8465,76.088,44.438,9092.0,2825.0
24.0,41.82764,76.039,44.348,9093.0,2825.0
24.0,41.82633,76.032,44.346,10582.0,2832.0
19.0,43.57938,72.013,39.899,12885.0,2520.0
24.0,40.26979,77.166,45.503,13586.0,2714.0
24.0,39.72026,78.446,46.947,13664.0,2664.0
24.0,39.54749,78.708,47.204,14230.0,2653.0
24.0,46.54652,72.054,39.881,14179.0,3421.0
24.0,45.94962,72.491,40.403,12384.0,3363.0
24.0,46.54539,71.836,39.648,14429.0,3426.0
24.0,47.30775,71.061,38.803,14878.0,3525.0
25.0,47.94442,70.284,37.889,15421.0,3837.0
24.0,47.80083,70.406,37.949,13768.0,3622.0
24.0,47.51986,70.738,38.383,15298.0,3728.0
23.17,40.55929,75.127,43.094,11830.0,2823.0
24.0,46.26385,72.465,40.241,9171.0,3471.0
24.0,46.82448,71.296,39.058,14160.0,3516.0
22.5,41.04032,74.131,42.027,13113.0,2758.0
24.0,54.13522,65.797,33.293,13977.0,4443.0
24.0,63.6046,57.843,25.237,15077.0,4939.0
24.0,65.91419,56.326,23.477,13182.0,5124.0
24.0,66.81713,55.961,23.077,12605.0,5188.0
24.0,67.27832,55.836,22.942,14407.0,5204.0
24.0,70.74367,54.274,21.302,14370.0,5136.0
24.0,70.75831,54.321,21.333,14947.0,5141.0
24.0,69.84177,54.734,21.743,15116.0,5114.0
24.0,68.19639,55.525,22.557,15012.0,5060.0
24.0,68.21417,55.557,22.593,14949.0,5077.0
24.0,68.20333,55.297,22.322,14675.0,5065.0
24.0,68.23689,55.628,22.661,14621.0,5084.0
24.0,68.26733,55.787,22.802,14941.0,5106.0
24.0,67.78168,55.968,22.991,13485.0,5097.0
24.0,67.73251,55.866,22.898,14681.0,5082.0
24.0,66.33882,56.11,23.145,12876.0,5077.0
24.0,67.76173,55.956,22.973,7991.0,5074.0
24.0,72.56489,53.859,20.77,11733.0,5223.0
23.88,70.34545,54.581,21.558,17645.0,5117.0
18.29,60.75193,60.374,27.226,15316.0,3554.0
24.0,67.74944,56.05,22.604,14269.0,5034.0
24.0,62.84763,59.56,26.143,10915.0,4831.0
24.0,65.97474,56.952,23.743,17570.0,4971.0
24.0,67.96528,56.023,22.764,17640.0,5063.0
24.0,70.48449,55.114,21.774,16677.0,5146.0
24.0,72.35622,54.584,21.182,17574.0,5200.0
24.0,42.02247,78.579,45.609,17370.0,2897.0
24.0,62.31119,62.644,29.426,17652.0,4853.0
24.0,70.24967,56.092,22.637,17521.0,5256.0
24.0,66.29217,59.341,25.978,17190.0,5095.0
24.0,70.49833,57.775,24.34,17648.0,5276.0
24.0,70.10871,56.789,23.285,17589.0,5333.0
24.0,69.73646,57.687,24.192,17605.0,5435.0
24.0,65.06153,60.38,27.016,17436.0,5209.0
24.0,66.46088,59.516,26.082,17638.0,5292.0
24.0,66.66875,60.422,26.959,17581.0,5323.0
24.0,64.09198,62.012,28.596,13668.0,5242.0
24.0,64.53006,61.685,28.246,17447.0,5278.0
24.0,64.69298,61.87,28.427,16779.0,5286.0
24.0,61.63559,64.97,31.687,15906.0,5126.0
24.0,62.64984,63.772,30.402,17013.0,5240.0
24.0,62.66924,64.005,30.623,17657.0,5282.0
24.0,62.66249,64.249,30.854,16566.0,5303.0
24.0,62.79158,64.487,31.075,17527.0,5271.0
24.0,63.25265,64.511,31.048,17432.0,5301.0
24.0,63.25514,64.516,31.0,17273.0,5338.0
24.0,63.24998,64.937,31.407,17550.0,5377.0
